category_name,product_name,total_revenue
Children Bicycles,,292189.1982
Children Bicycles,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,41011.6329
Children Bicycles,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,34728.8137
Children Bicycles,Electra Cruiser 1 (24-Inch) - 2016,34078.1378
Children Bicycles,Electra Townie 3i EQ (20-inch) - Boys' - 2017,17125.1505
Children Bicycles,"Electra Girl's Hawaii 1 16"" - 2017",12785.5738
Children Bicycles,Trek Precaliber 24 (21-Speed) - Girls - 2017,12179.652
Children Bicycles,Electra Townie 7D (20-inch) - Boys' - 2017,12079.8447
Children Bicycles,Electra Savannah 3i (20-inch) - Girl's - 2017,10258.2069
Children Bicycles,Electra Moto 3i (20-inch) - Boy's - 2017,9680.7234
Children Bicycles,Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,9095.6968
Children Bicycles,Electra Straight 8 3i (20-inch) - Boy's - 2017,8638.5237
Children Bicycles,Haro Downtown 16 - 2017,8464.2435
Children Bicycles,Haro Shredder 20 Girls - 2017,7364.3493
Children Bicycles,Haro Shredder 20 - 2017,7183.7579
Children Bicycles,Haro Shredder Pro 20 - 2017,6227.2509
Children Bicycles,Trek Precaliber 12 Girls - 2017,5198.1264
Children Bicycles,Trek Precaliber 16 Boys - 2017,5113.2565
Children Bicycles,Trek Precaliber 12 Boys - 2017,4972.0383
Children Bicycles,Trek Precaliber 16 Girls - 2017,4577.782
Children Bicycles,Trek Boy's Kickster - 2015/2017,3236.7842
Children Bicycles,Trek Girl's Kickster - 2017,3193.2871
Children Bicycles,"Electra Treasure 1 20"" - 2018",2835.1114
Children Bicycles,Sun Bicycles Lil Kitt'n - 2017,2328.4883
Children Bicycles,Strider Strider 20 Sport - 2018,2305.4205
Children Bicycles,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,2001.9285
Children Bicycles,"Electra Under-The-Sea 1 16"" - 2018",1987.929
Children Bicycles,Electra Heartchya 1 (20-inch) - Girl's - 2018,1929.5397
Children Bicycles,Electra Tiger Shark 1 (20-inch) - Boys' - 2018,1804.7436
Children Bicycles,Electra Sweet Ride 3i (20-inch) - Girls' - 2018,1701.954
Children Bicycles,Trek Precaliber 16 Girl's - 2018,1511.928
Children Bicycles,Electra Water Lily 1 (16-inch) - Girl's - 2018,1315.953
Children Bicycles,"Electra Starship 1 16"" - 2018",1212.3567
Children Bicycles,Strider Sport 16 - 2018,1157.4537
Children Bicycles,Trek Kickster - 2018,1151.928
Children Bicycles,Trek Precaliber 24 (7-Speed) - Boys - 2018,1129.5647
Children Bicycles,Trek Precaliber 12 Boy's - 2018,1061.9469
Children Bicycles,Trek Precaliber 20 Girl's - 2018,1011.956
Children Bicycles,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,892.7721
Children Bicycles,Strider Classic 12 Balance Bike - 2018,857.6047
Children Bicycles,Trek Precaliber 20 Boy's - 2018,781.966
Children Bicycles,Trek Precaliber 24 21-speed Girl's - 2018,665.982
Children Bicycles,Trek Precaliber 24 21-speed Boy's - 2018,640.0827
Children Bicycles,"Electra Superbolt 1 20"" - 2018",607.981
Children Bicycles,Trek Precaliber 20 6-speed Boy's - 2018,492.983
Children Bicycles,Trek Superfly 24 - 2017/2018,465.4905
Children Bicycles,Electra Straight 8 1 (20-inch) - Boy's - 2018,362.6907
Children Bicycles,Trek Superfly 20 - 2018,359.991
Children Bicycles,"Electra Superbolt 3i 20"" - 2018",351.4905
Children Bicycles,Electra Tiger Shark 3i (20-inch) - Boys' - 2018,332.991
Children Bicycles,"Electra Treasure 3i 20"" - 2018",295.992
Children Bicycles,Trek Precaliber 20 6-speed Girl's - 2018,269.6907
Children Bicycles,Electra Straight 8 1 (16-inch) - Boy's - 2018,265.9905
Children Bicycles,Trek Precaliber 24 7-speed Girl's - 2018,255.992
Children Bicycles,Trek MT 201 - 2018,224.991
Children Bicycles,Electra Soft Serve 1 (16-inch) - Girl's - 2018,223.992
Children Bicycles,Trek Precaliber 16 Boy's - 2018,199.4905
Comfort Bicycles,,394020.0981
Comfort Bicycles,Electra Townie Original 7D EQ - 2016,72424.7929
Comfort Bicycles,Electra Townie Original 21D - 2016,67621.2705
Comfort Bicycles,Electra Townie Original 7D - 2015/2016,66568.6686
